b'drcowby60',b'False #MeToo Allegations at Pennsylvania High School https://t.co/PNew2ohYgc',113
b'JillAnneChouina',b'26 years since Anita Hill and we have moved backwards. The Whitehouse remains impervious to #metoo',64
b'LassiterBrian',"b'Politics aside, what troubles me:\n\nthe confirmation process was flawed &amp; lacked transparency,\n\ncredibility of 2 key institutions have taken a hit (FBI &amp; SCOTUS),\n\n#MeToo was not heard, &amp;\n\nthis likely further divides &amp; polarizes the nation.\n\nWe are not in a good place.\n#Kavanaugh'",6760
b'BZTAT',"b'If \xe2\x80\x9cBoys will be boys,\xe2\x80\x9d then girls absolutely need to be in charge.\xe2\x80\x9d Hand embellished prints. Framed 8\xe2\x80\x9d x 8\xe2\x80\x9d - $35.00 + shipping. Message me or comment if interested.\n#metoo #bluewave #stopkavanaugh #quoteart #artforsale #bztatart https://t.co/mAtSAcKfG1 https://t.co/gHzE7YiKO4'",3626
b'saurav_163',"b'@thapaprakash Old folks vote. They don\xe2\x80\x99t tweet and protest. The younger generation is lazy. I agree with you. In democracy, votes matter and election has consequences. I am counting on enraged females and #metoo activists though'",362
b'andrealcummings',b'It\xe2\x80\x99s a shame to begin to shape the narrative that people who speak out against what\xe2\x80\x99s going on are paid professionals. #MeToo #BelieveAllWomen',254
b'Crypto_ElonMusk',b'@womensmarch @SenatorCollins This case wasn\xe2\x80\x99t even about rape. This is why no one takes you seriously. You radical feminists have sent the #metoo movement backwards.',491
b'lucydaiseyellie',"b'This example is what is so mentally exhausting. The ""great guy"", ""quiet neighbour"", ""successful business person"", ""loyal employee"" defense. As if those characteristics preclude someone from also being a predator. #MeToo #TimesUp #BelieveSurvivors #BelieveWomen #BelieveChristine https://t.co/qdZoixipgn'",71
b'rfragan',"b""@Alyssa_Milano #MeToo I am 64yr survivor of sexual assault. This is a not political issue, it's a Humanity issue. Please listen to Sen Collins speech again. As a Republican I don't like being called names or put in a box. Still &lt;3 U! Watch the echo chamber, it has no love!""",13
b'NeeleyEunice',b'@FDATobacco @FDATobacco funds sexual harassers (Stanton Glantz). #Metoo',12
b'Carolinacate3',"b'@SenJohnKennedy No words. The left has gone completely out of their minds. These \xe2\x80\x9cwomen\xe2\x80\x9d are dangerous, they are trashy, they behave like degenerates. How sad that they have no respect for themselves. #LiberalLunacy #WalkAway #MeToo #Unhinged #VoteRED to #SaveAmerica. #KavanaughConfirmation'",1867
b'rasheedajamu',"b'\xe2\x80\x9cThey lose validity and solace in movements like #MeToo because their narratives could not possibly match that of a mediocre white woman with a size two waist and a visible neck line.\xe2\x80\x9d \n\nWhy Fat Women Can Say #MeToo, Too. Read more below. \nhttps://t.co/DVXRLzyldx'",2613
b'Kingtut1998',b'@ACTBrigitte #metoo movement demands her step down! She can\xe2\x80\x99t possibly share a seat with Judge Kavanaugh! Step down for the women!!',1907
b'DevilStarrXXX',b'#NewProfilePic @DevilStarrXXX \n@Starrdecember @lance_mccurry27 \n#base #MeToo #NationalBoyfriendDay \nButchered and Busted\n#Online\n#16shots \n@love https://t.co/Hwz5D1Euj4',89
b'algal1031',"b""He's right. Trump is great at turning the victims on just about every issue. Why are we falling for it?? #MeToo \nhttps://t.co/w6l17zaPQ6""",95
b'QueenNfl',"b""@seanhannity @JeffBales6 @GreggJarrett The fact there haven't been any leaks shows how damning it is to the Democrats #MAGA #MeToo""",736
b'AnothaKindaGay',"b""@lisamurkowski Way to EMBARRASS your own state!  Look UP and you'll see #SusanCollins &amp; #LindseyGraham!  #WhatAFOOL #Alaska just got a black eye!  #MeToo #ConfirmKavanaughNow""",268
b'jacquimwood',"b'@TomArnold Thanks. I feel kicked in the teeth after telling my #metoo story to a bunch of women hating Senators including @SenatorCollins \n\nPro-Rape, Pedophilia and #Treason is the legacy of @GOP'",4162
b'IndivisibleVV',b'@ShepherdMao You are a male chauvinist. You may not follow me. #MeToo',20461
b'RyanIrelanJane',"b'@akahelen223 @lisamurkowski NO, we DO NOT!! As an accuser, Mrs. Ford did NOT have ABT corroboration AT ALL.\n#MeToo \n#ConfirmKavanaugh'",3972
b'AmyKSpittler',"b'@ChrisRBarron You should, but me too. Oh, not #metoo. Just, me too.\xf0\x9f\x98\x9e shame...'",64
